Date,USD
24/01/2017,68.1570
23/01/2017,68.0843
20/01/2017,68.0883
19/01/2017,68.1766
18/01/2017,67.9364
17/01/2017,68.0509
16/01/2017,68.1558
13/01/2017,68.2310
12/01/2017,68.0858
11/01/2017,68.2276
10/01/2017,68.0641
09/01/2017,68.1863
06/01/2017,67.9522
05/01/2017,67.7884
04/01/2017,68.1791
03/01/2017,68.0864
02/01/2017,68.0225
30/12/2016,67.9547
29/12/2016,68.1241
28/12/2016,68.2250
27/12/2016,67.9967
26/12/2016,67.8331
23/12/2016,67.9117
22/12/2016,67.9136
21/12/2016,67.8724
